baguenaudent;baguenaudaient;baguenaudèrent;baguenaudassent;baguenauderaient
baguent;baguaient;baguèrent;baguassent;bagueraient
baignent;baignaient;baignèrent;baignassent;baigneraient
bâillent;bâillaient;bâillèrent;bâillassent;bâilleraient
bâillonnent;bâillonnaient;bâillonnèrent;bâillonnassent;bâillonneraient
baisent;baisaient;baisèrent;baisassent;baiseraient
baissent;baissaient;baissèrent;baissassent;baisseraient
battent;battaient;battèrent;battissent;battraient
boivent;buvaient;burent;bussent;boiraient
bougent;bougeaient;bougèrent;bougeassent;bougeraient
brûlent;brûlaient;brûlèrent;brûlassent;brûleraient
cachent;cachaient;cachèrent;cachassent;cacheraient
calment;calmaient;calmèrent;calmassent;calmeraient
cassent;cassaient;cassèrent;cassassent;casseraient
cessent;cessaient;cessèrent;cessassent;cesseraient
changent;changeaient;changèrent;changeassent;changeraient
chantent;chantaient;chantèrent;chantassent;chanteraient
chargent;chargeaient;chargèrent;chargeassent;chargeraient
cherchent;cherchaient;cherchèrent;cherchassent;chercheraient
choisissent;choisissaient;choisèrent;choisissent;choisiraient
commencent;commençaient;commencèrent;commençassent;commenceraient
comprennent;comprenaient;comprèrent;comprissent;comprendraient
comptent;comptaient;comptèrent;comptassent;compteraient
conduisent;conduisaient;conduisèrent;conduisissent;conduiraient
connaissent;connaissaient;connèrent;connussent;connaîtraient
continuent;continuaient;continuèrent;continuassent;continueraient
couchent;couchaient;couchèrent;couchassent;coucheraient
coupent;coupaient;coupèrent;coupassent;couperaient
courent;couraient;courèrent;courussent;courraient
couvrent;couvraient;couvrèrent;couvrissent;couvriraient
craignent;craignaient;craignèrent;craignissent;craindraient
crient;criaient;crièrent;criassent;crieraient
croient;croyaient;crurent;crussent;croiraient
dansent;dansaient;dansèrent;dansassent;danseraient
décident;décidaient;décidèrent;décidassent;décideraient
découvrent;découvraient;découvrèrent;découvrissent;découvriraient
dégagent;dégageaient;dégagèrent;dégageassent;dégageraient
demandent;demandaient;demandèrent;demandassent;demanderaient
descendent;descendaient;descendèrent;descendissent;descendraient
désolent;désolaient;désolèrent;désolassent;désoleraient
détestent;détestaient;détestèrent;détestassent;détesteraient
détruisent;détruisaient;détruisèrent;détruisissent;détruiraient
deviennent;devenaient;devinrent;devinssent;deviendraient
devinent;devinaient;devinèrent;devinassent;devineraient
doivent;devaient;durent;dussent;devraient
disent;disaient;dirent;dissent;diraient
disparaissent;disparaissaient;disparèrent;disparussent;disparaîtraient
donnent;donnaient;donnèrent;donnassent;donneraient
dorment;dormaient;dormèrent;dormissent;dormiraient
échappent;échappaient;échappèrent;échappassent;échapperaient
écoutent;écoutaient;écoutèrent;écoutassent;écouteraient
écrivent;écrivaient;écrivèrent;écrivissent;écriraient
éloignent;éloignaient;éloignèrent;éloignassent;éloigneraient
embrassent;embrassaient;embrassèrent;embrassassent;embrasseraient
emmènent;emmenaient;emmenèrent;emmenassent;emmeneraient
empêchent;empêchaient;empêchèrent;empêchassent;empêcheraient
emportent;emportaient;emportèrent;emportassent;emporteraient
enlèvent;enlevaient;enlevèrent;enlevassent;enlèveraient
entendent;entendaient;entendirent;entendissent;entendraient
entrent;entraient;entrèrent;entrassent;entreraient
envoient;envoyaient;envoyrent;envoyassent;enverraient
espèrent;espéraient;espérèrent;espérassent;espéreraient
essayent;essaient;essayaient;essayèrent;essayassent;essayeraient;essaieraient;
étaient;furent;soient;fussent;seraient
évitent;évitaient;évitèrent;évitassent;éviteraient
excusent;excusaient;excusèrent;excusassent;excuseraient
existent;existaient;existèrent;existassent;existeraient
expliquent;expliquaient;expliquèrent;expliquassent;expliqueraient
fabriquent;fabriquaient;fabriquèrent;fabriquassent;fabriqueraient
fabulent;fabulaient;fabulèrent;fabulassent;fabuleraient
facent;façaient;facèrent;façassent;faceraient
facettent;facettaient;facettèrent;facettassent;facetteraient
fâchent;fâchaient;fâchèrent;fâchassent;fâcheraient
facilitent;facilitaient;facilitèrent;facilitassent;faciliteraient
façonnent;façonnaient;façonnèrent;façonnassent;façonneraient
factorisent;factorisaient;factorisèrent;factorisassent;factoriseraient
facturent;facturaient;facturèrent;facturassent;factureraient
fagotent;fagotaient;fagotèrent;fagotassent;fagoteraient
faiblissent;faiblissaient;faiblirent;faiblissent;faibliraient
faillent;faillaient;faillirent;faillissent;failliraient
fainéantent;fainéantaient;fainéantèrent;fainéantassent;fainéanteraient
faisaient;firent;fassent;fissent;feraient
ferment;fermaient;fermèrent;fermassent;fermeraient
filent;filaient;filèrent;filassent;fileraient
finissent;finissaient;finèrent;finissent;finiraient
foutent;foutaient;foutèrent;foutissent;foutraient
frappent;frappaient;frappèrent;frappassent;frapperaient
froidissent;froidissaient;froidirent;froidissent;froidiraient
fuient;fuyaient;fuirent;fuissent;fuiraient
frustrent;frustraient;frustrèrent;frustrassent;frustreraient
fument;fumaient;fumèrent;fumassent;fumeraient
gagnent;gagnaient;gagnèrent;gagnassent;gagneraient
gardent;gardaient;gardèrent;gardassent;garderaient
glissent;glissaient;glissèrent;glissassent;glisseraient
grandissent;grandissaient;grandirent;grandissent;grandiraient
granitent;granitaient;granitèrent;granitassent;graniteraient
granulent;granulaient;granulèrent;granulassent;granuleraient
gravent;gravaient;gravèrent;gravassent;graveraient
habitent;habitaient;habitèrent;habitassent;habiteraient
herbent;herbaient;herbèrent;herbassent;herberaient
héritent;héritaient;héritèrent;héritassent;hériteraient
hésitent;hésitaient;hésitèrent;hésitassent;hésiteraient
historient;historiaient;historièrent;historiassent;historieraient
homicident;homicidaient;homicidèrent;homicidassent;homicideraient
homogénéisent;homogénéisaient;homogénéisèrent;homogénéisassent;homogénéiseraient
honorent;honoraient;honorèrent;honorassent;honoreraient
horrifient;horrifiaient;horrifièrent;horrifiassent;horrifieraient
hospitalisent;hospitalisaient;hospitalisèrent;hospitalisassent;hospitaliseraient
hottent;hottaient;hottèrent;hottassent;hotteraient
houspillent;houspillaient;houspillèrent;houspillassent;houspilleraient
humanisent;humanisaient;humanisèrent;humanisassent;humaniseraient
hybrident;hybridaient;hybridèrent;hybridassent;hybrideraient
ignorent;ignoraient;ignorèrent;ignorassent;ignoreraient
imaginent;imaginaient;imaginèrent;imaginassent;imagineraient
importent;importaient;importèrent;importassent;importeraient
inquiètent;inquiétaient;inquiétèrent;inquiétassent;inquiéteraient
installent;installaient;installèrent;installassent;installeraient
intéressent;intéressaient;intéressèrent;intéressassent;intéresseraient
invitent;invitaient;invitèrent;invitassent;inviteraient
jettent;jetaient;jetèrent;jetassent;jetteraient
jouent;jouaient;jouèrent;jouassent;joueraient
jurent;juraient;jurèrent;jurassent;jureraient
labialisent;labialisaient;labialisèrent;labialisassent;labialiseraient
labourent;labouraient;labourèrent;labourassent;laboureraient
lacent;laçaient;lacèrent;laçassent;laceraient
lâchent;lâchaient;lâchèrent;lâchassent;lâcheraient
laissent;laissaient;laissèrent;laissassent;laisseraient
lamentent;lamentaient;lamentèrent;lamentassent;lamenteraient
lancent;lançaient;lancèrent;lançassent;lanceraient
langent;langeaient;langèrent;langeassent;langeraient
lassent;lassaient;lassèrent;lassassent;lasseraient
lavent;lavaient;lavèrent;lavassent;laveraient
layent;laient;layaient;layèrent;layassent;layeraient;laieraient;
leadent;leadaient;leadèrent;leadassent;leaderaient
lèchent;léchaient;léchèrent;léchassent;lécheraient
légalisent;légalisaient;légalisèrent;légalisassent;légaliseraient
légendent;légendaient;légendèrent;légendassent;légenderaient
lèvent;levaient;levèrent;levassent;leveraient
libellent;libellaient;libellèrent;libellassent;libelleraient
libéralisent;libéralisaient;libéralisèrent;libéralisassent;libéraliseraient
libèrent;libéraient;libérèrent;libérassent;libéreraient
libertinent;libertinaient;libertinèrent;libertinassent;libertineraient
licencient;licenciaient;licencièrent;licenciassent;licencieraient
liftent;iftaient;liftèrent;liftassent;lifteraient
lignent;lignaient;lignèrent;lignassent;ligneraient
ligotent;ligotaient;ligotèrent;ligotassent;ligoteraient
limitent;limitaient;limitèrent;limitassent;limiteraient
liquident;liquidaient;liquidèrent;liquidassent;liquideraient
lisent;lisaient;lurent;lussent;liraient
listent;listaient;listèrent;listassent;listeraient
litent;litaient;litèrent;litassent;literaient
livrent;livraient;livrèrent;livrassent;livreraient
localisent;localisaient;localisèrent;localisassent;localiseraient
longent;longeaient;longèrent;longeassent;longeraient
loupent;loupaient;loupèrent;loupassent;louperaient
lunchent;lunchaient;lunchèrent;lunchassent;luncheraient
lustrent;lustraient;lustrèrent;lustrassent;lustreraient
luxent;luxaient;luxèrent;luxassent;luxeraient
maintiennent;maintenaient;maintièrent;maintinssent;maintiendraient
mangent;mangeaient;mangèrent;mangeassent;mangeraient
